62,Tyler Kroft,CIN,TE,10,92,9.2,6.6,21,0,1,0,3,30,0
62,Austin Seferian-Jenkins,NYJ,TE,10,110,11,15.7,19,0,0,0,7,70,0
62,Darren Waller,BAL,TE,10,85,8.5,7.1,15,2,0,0,7,70,0
67,Rhett Ellison,MIN,TE,9,57,6.3,3.8,21,0,1,0,2,22.2,0
67,Jeff Heuerman,DEN,TE,9,141,15.7,11.8,31,0,2,0,7,77.8,0
67,Nick O'Leary,BUF,TE,9,114,12.7,7.1,28,0,2,0,5,55.6,0
70,Brandon Bostick,NYJ,TE,8,63,7.9,3.9,14,0,0,0,2,25,0
70,Jordan Cameron,MIA,TE,8,60,7.5,20,13,1,0,0,3,37.5,0
70,Anthony Fasano,TEN,TE,8,83,10.4,5.2,17,2,0,0,6,75,0
70,Crockett Gillmore,BAL,TE,8,71,8.9,10.1,22,1,1,0,5,62.5,0
74,David Johnson,PIT,TE,7,80,11.4,5,26,0,1,0,5,71.4,0
74,Dominique Jones,MIA,TE,7,61,8.7,6.8,24,1,1,0,3,42.9,0
74,Brandon Myers,TB,TE,7,59,8.4,3.7,12,1,0,0,4,57.1,0
77,Nick Boyle,BAL,TE,6,44,7.3,7.3,20,0,1,0,1,16.7,0
77,Lee Smith,OAK,TE,6,29,4.8,7.2,12,0,0,0,0,0,0
77,Geoff Swaim,DAL,TE,6,69,11.5,7.7,28,0,2,0,3,50,0
80,John Phillips,NO,TE,5,32,6.4,4,10,0,0,0,1,20,0
80,Luke Stocker,TB,TE,5,23,4.6,1.9,11,0,0,0,2,40,0
82,Blake Bell,SF,TE,4,85,21.3,6.5,45,0,2,1,2,50,0
82,Ben Braunecker,CHI,TE,4,41,10.3,3.2,14,0,0,0,2,50,0
82,Gavin Escobar,DAL,TE,4,30,7.5,1.9,14,1,0,0,2,50,0
82,Phillip Supernaw,TEN,TE,4,62,15.5,4.1,30,0,1,0,3,75,0
86,Jace Amaro,TEN,TE,3,59,19.7,19.7,26,0,1,0,2,66.7,0
86,Alex Ellis,JAX,TE,3,11,3.7,1.8,6,0,0,0,0,0,0
86,Clay Harbor,DET,TE,3,19,6.3,1.6,9,0,0,0,1,33.3,0
86,Logan Paulsen,CHI,TE,3,15,5,0.9,7,0,0,0,1,33.3,0
86,Josh Perkins,ATL,TE,3,42,14,5.2,26T,1,1,0,2,66.7,0
86,Ross Travis,KC,TE,3,15,5,2.5,6,0,0,0,1,33.3,0
86,Nick Vannett,SEA,TE,3,32,10.7,3.6,21,0,1,0,1,33.3,0
93,Derek Carrier,WAS,TE,2,10,5,1.2,6,0,0,0,0,0,0
93,Je'Ron Hamm,SF,TE,2,13,6.5,2.6,7,0,0,0,1,50,0
93,Ryan Hewitt,CIN,TE,2,13,6.5,0.8,8,0,0,0,1,50,0
93,Matt Lengel,NE,TE,2,22,11,3.7,18T,1,0,0,1,50,0
93,Sean McGrath,SD,TE,2,25,12.5,1.6,13,0,0,0,2,100,0
93,Ifeanyi Momah,ARI,TE,2,50,25,10,27,0,2,0,2,100,0
93,James O'Shaughnessy,KC,TE,2,-1,-0.5,-0.1,0,0,0,0,0,0,0
93,Niles Paul,WAS,TE,2,27,13.5,3.4,16,0,0,0,2,100,0
