62,Chris Conley,KC,WR,44,530,12,33.1,39,0,4,0,30,68.2,1
62,Jeremy Maclin,KC,WR,44,536,12.2,44.7,44,2,6,1,29,65.9,0
62,Terrance Williams,DAL,WR,44,594,13.5,37.1,47,4,6,2,34,77.3,1
65,Robby Anderson,NYJ,WR,42,587,14,36.7,52,2,10,4,18,42.9,1
65,Kenny Stills,MIA,WR,42,726,17.3,45.4,74T,9,10,4,30,71.4,0
67,Jermaine Kearse,SEA,WR,41,510,12.4,31.9,36,1,7,0,24,58.5,0
67,Tyler Lockett,SEA,WR,41,597,14.6,39.8,57T,1,9,3,22,53.7,0
67,Brian Quick,LA,WR,41,564,13.8,35.2,65T,3,7,3,22,53.7,0
67,Tajae Sharpe,TEN,WR,41,522,12.7,32.6,34T,2,7,0,27,65.9,0
71,John Brown,ARI,WR,39,517,13.3,34.5,30T,2,5,0,28,71.8,0
71,Victor Cruz,NYG,WR,39,586,15,39.1,48,1,10,3,25,64.1,1
73,Chris Hogan,NE,WR,38,680,17.9,45.3,79T,4,11,4,23,60.5,1
73,Seth Roberts,OAK,WR,38,397,10.4,24.8,41T,5,5,1,22,57.9,0
75,Quinton Patton,SF,WR,37,408,11,29.1,45,0,4,1,22,59.5,1
76,Nelson Agholor,PHI,WR,36,365,10.1,24.3,40T,2,3,1,15,41.7,1
76,Dorial Green-Beckham,PHI,WR,36,392,10.9,26.1,26,2,5,0,25,69.4,0
78,Taylor Gabriel,ATL,WR,35,579,16.5,44.5,76T,6,8,3,21,60,0
78,Allen Hurns,JAX,WR,35,477,13.6,43.4,42T,3,9,1,23,65.7,1
80,J.J. Nelson,ARI,WR,34,568,16.7,37.9,80T,6,9,4,26,76.5,1
81,Corey Coleman,CLE,WR,33,413,12.5,41.3,58,3,4,2,17,51.5,0
81,Phillip Dorsett,IND,WR,33,528,16,35.2,64T,2,8,4,20,60.6,1
81,Andrew Hawkins,CLE,WR,33,324,9.8,20.2,33,3,5,0,20,60.6,0
81,Breshad Perriman,BAL,WR,33,499,15.1,31.2,53T,3,8,3,19,57.6,0
